id,name,parent,parent_id
0,Brad Myers,,
1,Jenny T. Liang,Brad Myers,0
2,Matthew C. Davis,Brad Myers,0
3,Amber Horvath,Brad Myers,0
4,Daye Nam,Brad Myers,0
4.1,Shaokang Jiang,Daye Nam,4
4.2,Yujin Zhang,Daye Nam,4
5,Michael Xieyang Liu,Brad Myers,0
6,Toby Li,Brad Myers,0
6.1,Zheng Zhang,Toby Li,6
6.2,Yuwen Lu,Toby Li,6
6.3,Zheng Ning,Toby Li,6
6.4,Simret Araya Gebreegziabher,Toby Li,6
6.5,Chaoran Chen,Toby Li,6
6.6,Ningzhi Tang,Toby Li,6
6.7,Sumin Hong,Toby Li,6
6.8,Yinuo Yang,Toby Li,6
7,Mary Beth Kery,Brad Myers,0
8,Michael Coblenz,Brad Myers,0
8.1,Savitha Ravi,Michael Coblenz,8
8.2,Ayla Kurdak,Michael Coblenz,8
8.3,Jacob Yim,Michael Coblenz,8
8.4,Shun Kashiwa,Michael Coblenz,8
9,Kerry Shih-Ping Chang,Brad Myers,0
10,YoungSeok Yoon,Brad Myers,0
11,Stephen Oney,Brad Myers,0
11.1,Yan Chen,Stephen Oney,11
11.1.1,Kevin Pu,Yan Chen,11.1
11.1.2,Xiaohang Tang,Yan Chen,11.1
11.1.3,Panayu Keelawat,Yan Chen,11.1
11.1.4,David Barron,Yan Chen,11.1
11.1.5,Yue Shen,Yan Chen,11.1
11.2,Rebecca Krosnick,Stephen Oney,11
11.3,April Wang,Stephen Oney,11
11.3.1,Xiaotian Su,April Wang,11.3
11.3.2,Junling Wang,April Wang,11.3
11.3.3,Yang Wu,April Wang,11.3
11.3.4,Bhada Yun,April Wang,11.3
11.4,Lei Zhang,Stephen Oney,11
11.5,Mauli Pandey,Stephen Oney,11
11.6,Ashley Zhang,Stephen Oney,11
11.7,Jiacheng Zhang,Stephen Oney,11
11.8,Xiangyu Zhou,Stephen Oney,11
12,Thomas LaToza,Brad Myers,0
12.1,Mainul Hossain,Thomas LaToza,12
12.2,Ruochen Wang,Thomas LaToza,12
12.3,Abdulaziz Alaboudi,Thomas LaToza,12
12.4,Emad Aghayi,Thomas LaToza,12
12.5,Sahar Mehrpour,Thomas LaToza,12
12.6,Maryam Arab,Thomas LaToza,12
12.7,David I. Samudio,Thomas LaToza,12
13,Jeffrey Stylos,Brad Myers,0
14,Amy J. Ko,Brad Myers,0
14.1,Greg Nelson,Amy J. Ko,14
14.2,Dastyni Loksa,Amy J. Ko,14
14.2.1,Olarinde Farayola,Dastyni Loksa,14.2
14.3,Amanda Swearngin,Amy J. Ko,14
14.4,Kyle Thayer,Amy J. Ko,14
14.5,Benjamin Xie,Amy J. Ko,14
14.6,Alannah Oleson,Amy J. Ko,14
14.7,Mara Kirdani-Ryan,Amy J. Ko,14
14.8,Stefania Druga,Amy J. Ko,14
14.9,Jayne Everson,Amy J. Ko,14
14.10,Megumi Kivuva,Amy J. Ko,14
14.11,Eman Sherif,Amy J. Ko,14
14.12,Rotem Landesman,Amy J. Ko,14
14.13,Elli Beres,Amy J. Ko,14
14.14,Blaze Burg,Amy J. Ko,14
14.15,Paul Luo Li,Amy J. Ko,14
14.16,Janet Jiang,Amy J. Ko,14
14.17,Michael J. Lee,Amy J. Ko,14
14.17.1,Yu Xu,Michael J. Lee,14.17
14.17.2,Eric W. Nersesian,Michael J. Lee,14.17
14.17.3,Ruiqi (Rachel) Shen,Michael J. Lee,14.17
14.17.4,Yi Li,Michael J. Lee,14.17
14.17.5,Kantida Nanon,Michael J. Lee,14.17
14.17.6,Jiaxing Zhang,Michael J. Lee,14.17
14.17.7,Esther Mba,Michael J. Lee,14.17
14.18,Parmit K. Chilana,Amy J. Ko,14
14.18.1,Laton Vermette,Parmit K. Chilana,14.18
14.18.2,Narges Ashtari,Parmit K. Chilana,14.18
14.18.3,Rimika Chaudhury,Parmit K. Chilana,14.18
14.18.4,Amir Jahanlou,Parmit K. Chilana,14.18
14.18.5,Anjali Khurana,Parmit K. Chilana,14.18
14.18.6,David A. Wong,Parmit K. Chilana,14.18
14.18.7,Haidan Liu,Parmit K. Chilana,14.18
15,Jeffrey Nichols,Brad Myers,0
16,Jacob O. Wobbrock,Brad Myers,0
16.1,Claire Mitchell,Jacob O. Wobbrock,16
16.2,Zhuohao (Jerry) Zhang,Jacob O. Wobbrock,16
16.3,Junhan Kong,Jacob O. Wobbrock,16
16.4,Mingyuan Zhong,Jacob O. Wobbrock,16
16.5,Anastasia Schaadhardt,Jacob O. Wobbrock,16
16.6,Ather Sharif,Jacob O. Wobbrock,16
16.7,Lisa A. Elkin,Jacob O. Wobbrock,16
16.8,Mingrui Zhang,Jacob O. Wobbrock,16
16.9,Rachel L. Franz,Jacob O. Wobbrock,16
16.10,Anne Spencer Ross,Jacob O. Wobbrock,16
16.11,Abdullah Ali,Jacob O. Wobbrock,16
16.12,Alex Mariakakis,Jacob O. Wobbrock,16
16.12.1,Salaar Liaqat,Alex Mariakakis,16.12
16.12.2,Brenna Li,Alex Mariakakis,16.12
16.12.3,Blue Lin,Alex Mariakakis,16.12
16.12.4,Ken Christofferson,Alex Mariakakis,16.12
16.12.5,Dhruv Verma,Alex Mariakakis,16.12
16.12.6,Sejal Bhalla,Alex Mariakakis,16.12
16.12.7,Ian Ruffolo,Alex Mariakakis,16.12
16.12.8,Andrii Lenyshyn,Alex Mariakakis,16.12
16.12.9,Zahra Hassanzadeh,Alex Mariakakis,16.12
16.12.10,Vaibhav Ganatra,Alex Mariakakis,16.12
16.13,Martez Mott,Jacob O. Wobbrock,16
16.14,Katie O’Leary,Jacob O. Wobbrock,16
16.15,Abigail Evans,Jacob O. Wobbrock,16
16.15.1,Steph Carter,Abigail Evans,16.15
16.15.2,Océane Le Treust Lissillour,Abigail Evans,16.15
16.16,Kristen Shinohara,Jacob O. Wobbrock,16
16.16.1,Emily Kuang,Kristen Shinohara,16.16
16.16.2,Paul Ezeamii,Kristen Shinohara,16.16
16.17,Shiri Azenkot,Jacob O. Wobbrock,16
16.17.1,Lei Shi,Shiri Azenkot,16.17
16.17.2,Yuhang Zhao,Shiri Azenkot,16.17
16.17.2.1,Kassie Povinelli,Yuhang Zhao,16.17.2
16.17.2.2,Ru Wang,Yuhang Zhao,16.17.2
16.17.2.3,Ruijia Chen,Yuhang Zhao,16.17.2
16.17.2.4,Kexin Zhang,Yuhang Zhao,16.17.2
16.17.2.5,Daniel Killough,Yuhang Zhao,16.17.2
16.17.2.6,Yuheng Wu,Yuhang Zhao,16.17.2
16.17.2.7,Hanxiu ‘Hazel’ Zhu,Yuhang Zhao,16.17.2
16.17.2.8,Ben Kosa,Yuhang Zhao,16.17.2
16.17.3,Sharon Heung,Shiri Azenkot,16.17
16.17.4,Ricardo Gonzalez,Shiri Azenkot,16.17
16.17.5,Jazmin Collins,Shiri Azenkot,16.17
16.18,Jessica J. Tran,Jacob O. Wobbrock,16
16.19,Parmit K. Chilana,Jacob O. Wobbrock,16
16.20,Jeff Huang,Jacob O. Wobbrock,16
16.20.1,Alexandra Papoutsaki,Jeff Huang,16.20
16.20.2,Nediyana Daskalova,Jeff Huang,16.20
16.20.3,Jing Qian,Jeff Huang,16.20
16.20.4,Shaun Wallace,Jeff Huang,16.20
16.20.5,Talie Massachi,Jeff Huang,16.20
