id,name,parent,parent_id,direct_students,total_descendants
0,Brad Myers,,,21,476
1,Jenny T. Liang,Brad Myers,0,0,0
2,Matthew C. Davis,Brad Myers,0,0,0
3,Amber Horvath,Brad Myers,0,0,0
4,Daye Nam,Brad Myers,0,2,2
4.1,Shaokang Jiang,Daye Nam,4,0,0
4.2,Yujin Zhang,Daye Nam,4,0,0
5,Michael Xieyang Liu,Brad Myers,0,0,0
6,Toby Li,Brad Myers,0,8,8
6.1,Zheng Zhang,Toby Li,6,0,0
6.2,Yuwen Lu,Toby Li,6,0,0
6.3,Zheng Ning,Toby Li,6,0,0
6.4,Simret Araya Gebreegziabher,Toby Li,6,0,0
6.5,Chaoran Chen,Toby Li,6,0,0
6.6,Ningzhi Tang,Toby Li,6,0,0
6.7,Sumin Hong,Toby Li,6,0,0
6.8,Yinuo Yang,Toby Li,6,0,0
7,Mary Beth Kery,Brad Myers,0,0,0
8,Michael Coblenz,Brad Myers,0,4,4
8.1,Savitha Ravi,Michael Coblenz,8,0,0
8.2,Ayla Kurdak,Michael Coblenz,8,0,0
8.3,Jacob Yim,Michael Coblenz,8,0,0
8.4,Shun Kashiwa,Michael Coblenz,8,0,0
9,Kerry Shih-Ping Chang,Brad Myers,0,0,0
10,YoungSeok Yoon,Brad Myers,0,0,0
11,Stephen Oney,Brad Myers,0,8,17
11.1,Yan Chen,Stephen Oney,11,5,5
11.1.1,Kevin Pu,Yan Chen,11.1,0,0
11.1.2,Xiaohang Tang,Yan Chen,11.1,0,0
11.1.3,Panayu Keelawat,Yan Chen,11.1,0,0
11.1.4,David Barron,Yan Chen,11.1,0,0
11.1.5,Yue Shen,Yan Chen,11.1,0,0
11.2,Rebecca Krosnick,Stephen Oney,11,0,0
11.3,April Wang,Stephen Oney,11,4,4
11.3.1,Xiaotian Su,April Wang,11.3,0,0
11.3.2,Junling Wang,April Wang,11.3,0,0
11.3.3,Yang Wu,April Wang,11.3,0,0
11.3.4,Bhada Yun,April Wang,11.3,0,0
11.4,Lei Zhang,Stephen Oney,11,0,0
11.5,Mauli Pandey,Stephen Oney,11,0,0
11.6,Ashley Zhang,Stephen Oney,11,0,0
11.7,Jiacheng Zhang,Stephen Oney,11,0,0
11.8,Xiangyu Zhou,Stephen Oney,11,0,0
12,Thomas LaToza,Brad Myers,0,7,7
12.1,Mainul Hossain,Thomas LaToza,12,0,0
12.2,Ruochen Wang,Thomas LaToza,12,0,0
12.3,Abdulaziz Alaboudi,Thomas LaToza,12,0,0
12.4,Emad Aghayi,Thomas LaToza,12,0,0
12.5,Sahar Mehrpour,Thomas LaToza,12,0,0
12.6,Maryam Arab,Thomas LaToza,12,0,0
12.7,David I. Samudio,Thomas LaToza,12,0,0
13,Jeffrey Stylos,Brad Myers,0,0,0
14,Amy J. Ko,Brad Myers,0,17,34
14.1,Greg Nelson,Amy J. Ko,14,0,0
14.2,Dastyni Loksa,Amy J. Ko,14,1,1
14.2.1,Olarinde Farayola,Dastyni Loksa,14.2,0,0
14.3,Amanda Swearngin,Amy J. Ko,14,0,0
14.4,Kyle Thayer,Amy J. Ko,14,0,0
14.5,Benjamin Xie,Amy J. Ko,14,0,0
14.6,Alannah Oleson,Amy J. Ko,14,2,2
14.6.1,Faiza Tazi,Alannah Oleson,14.6,0,0
14.6.2,Saka Suleiman,Alannah Oleson,14.6,0,0
14.7,Mara Kirdani-Ryan,Amy J. Ko,14,0,0
14.8,Stefania Druga,Amy J. Ko,14,0,0
14.9,Jayne Everson,Amy J. Ko,14,0,0
14.10,Megumi Kivuva,Amy J. Ko,14,0,0
14.11,Eman Sherif,Amy J. Ko,14,0,0
14.12,Rotem Landesman,Amy J. Ko,14,0,0
14.13,Blaze Burg,Amy J. Ko,14,0,0
14.14,Paul Luo Li,Amy J. Ko,14,0,0
14.15,Janet Jiang,Amy J. Ko,14,0,0
14.16,Michael J. Lee,Amy J. Ko,14,7,7
14.16.1,Yu Xu,Michael J. Lee,14.16,0,0
14.16.2,Eric W. Nersesian,Michael J. Lee,14.16,0,0
14.16.3,Ruiqi (Rachel) Shen,Michael J. Lee,14.16,0,0
14.16.4,Yi Li,Michael J. Lee,14.16,0,0
14.16.5,Kantida Nanon,Michael J. Lee,14.16,0,0
14.16.6,Jiaxing Zhang,Michael J. Lee,14.16,0,0
14.16.7,Esther Mba,Michael J. Lee,14.16,0,0
